datetime,resident,neighbor,difference
2014-04-01 00:00:00,0.356,0.6814166666666667,-0.3254166666666667
2014-04-01 00:15:00,0.26,0.7565416666666668,-0.49654166666666677
2014-04-01 00:30:00,0.308,0.6251249999999999,-0.31712499999999993
2014-04-01 00:45:00,0.26,0.7062499999999999,-0.4462499999999999
2014-04-01 01:00:00,0.232,0.5658333333333333,-0.3338333333333333
2014-04-01 01:15:00,0.203,0.7896666666666667,-0.5866666666666667
2014-04-01 01:30:00,0.122,0.7555416666666667,-0.6335416666666667
2014-04-01 01:45:00,0.132,0.6102083333333332,-0.47820833333333324
2014-04-01 02:00:00,0.241,0.6510833333333333,-0.41008333333333336
2014-04-01 02:15:00,0.229,0.6498750000000001,-0.4208750000000001
2014-04-01 02:30:00,0.214,0.6159583333333333,-0.4019583333333333
2014-04-01 02:45:00,0.119,0.73325,-0.61425
2014-04-01 03:00:00,0.115,0.6391666666666668,-0.5241666666666668
2014-04-01 03:15:00,0.227,0.6226666666666667,-0.3956666666666667
2014-04-01 03:30:00,0.224,0.6615833333333333,-0.4375833333333333
2014-04-01 03:45:00,0.205,0.6415833333333333,-0.4365833333333333
2014-04-01 04:00:00,0.118,0.5628750000000001,-0.44487500000000013
2014-04-01 04:15:00,0.117,0.719875,-0.602875
2014-04-01 04:30:00,0.234,0.4747916666666668,-0.24079166666666676
2014-04-01 04:45:00,0.226,0.4842083333333334,-0.2582083333333334
2014-04-01 05:00:00,0.198,0.493875,-0.295875
2014-04-01 05:15:00,0.118,0.6054166666666666,-0.4874166666666666
2014-04-01 05:30:00,0.124,0.7123750000000001,-0.5883750000000001
2014-04-01 05:45:00,0.234,0.518625,-0.284625
2014-04-01 06:00:00,0.22,0.5627916666666667,-0.3427916666666667
2014-04-01 06:15:00,0.177,0.5590416666666667,-0.38204166666666667
2014-04-01 06:30:00,0.118,0.531625,-0.413625
2014-04-01 06:45:00,0.143,0.8880416666666666,-0.7450416666666666
2014-04-01 07:00:00,0.236,0.6419583333333334,-0.4059583333333334
2014-04-01 07:15:00,0.225,0.7094166666666667,-0.4844166666666667
2014-04-01 07:30:00,0.24,0.8363333333333335,-0.5963333333333335
2014-04-01 07:45:00,0.149,0.9407083333333333,-0.7917083333333332
2014-04-01 08:00:00,0.268,0.9412083333333334,-0.6732083333333334
2014-04-01 08:15:00,0.954,0.9562083333333334,-0.0022083333333334787
2014-04-01 08:30:00,0.424,1.1335000000000002,-0.7095000000000002
2014-04-01 08:45:00,0.386,1.0110000000000001,-0.6250000000000001
2014-04-01 09:00:00,0.383,0.8987916666666668,-0.5157916666666668
2014-04-01 09:15:00,0.384,0.7543333333333333,-0.3703333333333333
2014-04-01 09:30:00,0.383,0.8561249999999999,-0.4731249999999999
2014-04-01 09:45:00,0.578,0.9164166666666667,-0.3384166666666667
2014-04-01 10:00:00,0.416,0.7936666666666669,-0.3776666666666669
2014-04-01 10:15:00,0.399,0.8290833333333335,-0.4300833333333335
2014-04-01 10:30:00,0.401,0.87525,-0.47424999999999995
2014-04-01 10:45:00,0.445,0.8750416666666667,-0.4300416666666667
2014-04-01 11:00:00,0.352,0.9334583333333334,-0.5814583333333334
2014-04-01 11:15:00,0.316,0.8219166666666667,-0.5059166666666668
2014-04-01 11:30:00,0.314,1.0240416666666665,-0.7100416666666665
2014-04-01 11:45:00,0.355,0.8649166666666669,-0.5099166666666669
2014-04-01 12:00:00,0.566,0.8764583333333333,-0.3104583333333334
2014-04-01 12:15:00,0.481,0.8497083333333334,-0.3687083333333334
2014-04-01 12:30:00,0.444,1.185583333333333,-0.741583333333333
2014-04-01 12:45:00,0.657,1.2861666666666667,-0.6291666666666667
2014-04-01 13:00:00,0.427,1.403875,-0.9768749999999999
2014-04-01 13:15:00,0.428,1.195625,-0.767625
2014-04-01 13:30:00,0.469,0.9702916666666667,-0.5012916666666667
2014-04-01 13:45:00,0.419,1.3898333333333335,-0.9708333333333334
2014-04-01 14:00:00,0.417,1.0390833333333334,-0.6220833333333333
2014-04-01 14:15:00,0.422,1.4443333333333335,-1.0223333333333335
2014-04-01 14:30:00,0.903,1.3716249999999999,-0.46862499999999985
2014-04-01 14:45:00,0.53,1.2497083333333334,-0.7197083333333334
2014-04-01 15:00:00,0.69,1.0536249999999998,-0.36362499999999986
2014-04-01 15:15:00,0.391,1.2189583333333334,-0.8279583333333334
2014-04-01 15:30:00,0.453,1.0982083333333332,-0.6452083333333332
2014-04-01 15:45:00,0.45,1.0480833333333337,-0.5980833333333337
2014-04-01 16:00:00,0.439,1.1167083333333332,-0.6777083333333331
2014-04-01 16:15:00,0.427,1.2335833333333333,-0.8065833333333332
2014-04-01 16:30:00,0.421,1.2894166666666667,-0.8684166666666666
2014-04-01 16:45:00,0.426,1.4700416666666662,-1.0440416666666663
2014-04-01 17:00:00,0.581,1.3650416666666665,-0.7840416666666665
